"","PercentageValues.Total.No.Of.Schools","PercentageValues.Schools.Approachable.By.Road.in.All.Weather","PercentageValues.Washrooms.For.Both","PercentageValues.Playground.Facilitated.Schools","PercentageValues.Boundarywall.Facilitated.Schools","PercentageValues.Drinking.Water.Facilitated.Schools","PercentageValues.Electricity.Facilitated.Schools","PercentageValues.Computer.Facilitated.Schools","PercentageValues.Mid.Day.Meal.Facilitated.Schools","PercentageValues.Total.Teachers"
"461",100,77.5757575757576,99.5454545454545,80.4545454545455,9.84848484848485,90.9090909090909,22.8787878787879,11.5151515151515,96.3636363636364,786.969696969697
"462",100,41.7582417582418,99.6003996003996,31.1688311688312,3.8961038961039,82.2177822177822,17.3826173826174,7.09290709290709,94.2057942057942,283.016983016983
"463",100,54.2137271937446,92.0938314509123,35.6211989574283,16.0729800173762,61.8592528236316,21.6333622936577,15.0304083405734,78.1928757602085,320.851433536056
"464",100,82.8629856850716,76.6871165644172,30.2658486707566,40.4498977505112,71.8200408997955,38.6094069529652,17.9141104294479,80.040899795501,425.439672801636
"465",100,95.3996282527881,60.4089219330855,79.6468401486989,25.3717472118959,90.4275092936803,13.2899628252788,7.66728624535316,82.6208178438662,396.468401486989
"466",100,38.6195094124358,69.2527096406161,17.2276098117513,8.55675984027382,64.8031945236737,17.6269252709641,6.7313177410154,80.0912721049629,282.258984597832
"467",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"468",100,44.4761904761905,60.7142857142857,35.0476190476191,9.61904761904762,62.3333333333333,14.7619047619048,7.47619047619048,80.8571428571429,344.809523809524
"469",100,96.2309820193638,77.0055325034578,35.7192254495159,63.5546334716459,99.6542185338866,29.149377593361,16.7358229598893,89.2807745504841,489.17704011065
"470",100,93.4572756524848,95.3879156238827,19.2348945298534,55.4880228816589,100,18.8416160171612,10.404004290311,93.350017876296,391.598140865213
"471",100,78.7245444801715,83.0653804930332,48.8745980707396,25.1875669882101,98.2315112540193,16.5058949624866,9.0032154340836,88.4780278670954,467.845659163987
"472",100,84.2266462480858,84.6860643185299,77.3736600306279,57.4655436447167,72.3200612557427,19.4869831546707,9.80091883614089,84.2649310872894,417.840735068913
"473",100,83.7057728119181,57.47982619491,62.756052141527,26.7535692116698,92.3960273122284,16.6045934202359,10.7697082557418,85.4127870887647,471.260086902545
"474",100,50.6476683937824,88.0829015544041,65.0259067357513,11.3989637305699,65.2849740932643,14.3782383419689,7.38341968911917,91.839378238342,306.217616580311
"475",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"476",100,87.8155872667399,99.0120746432492,26.6739846322722,65.0933040614709,100,35.4555433589462,16.3556531284303,93.1942919868277,396.15806805708
"477",100,84.8534874122988,79.5295088732976,26.7024349979364,59.5542715641766,99.7523730912093,36.3186132893108,16.714816343376,90.4250928600908,437.928188196451
"478",100,100,88.4717706177949,38.2205143363878,79.0422701744014,100,25.716819391073,16.0804020100502,90.5409399940881,420.898610700562
"479",100,94.3681318681319,94.6199633699634,34.3177655677656,73.8324175824176,100,41.3232600732601,12.706043956044,89.4459706959707,500.526556776557
"480",100,77.3620798985415,97.1147748890298,30.9765377298668,65.0285351934052,100,27.6474318325935,9.32149651236525,89.4736842105263,471.147748890298
"481",100,79.8460461861442,62.0713785864241,71.0986703988803,19.8740377886634,92.8621413575927,19.6641007697691,8.46745976207138,82.7151854443667,455.5633310007
"482",100,88.9753566796368,61.6515348032858,64.9373108517077,15.8668396022482,86.6839602248163,11.4569822741029,4.66926070038911,84.4357976653696,515.99654128837
"483",100,90.9257561869844,82.9514207149404,53.4372135655362,55.5453712190651,88.4509624197983,61.4115490375802,29.8808432630614,69.019248395967,840.329972502292
"484",100,85.1507257164124,44.0640119091924,71.9389653889096,15.9657610718273,73.2043170822479,10.9043542984741,8.11313732787495,70.1898027540007,381.168589505024
"485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"486",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"487",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"488",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"489",100,92.8097909229985,73.074961754207,31.6165221825599,64.3549209586945,98.9291177970423,38.9597144314125,18.2049974502805,86.2825089240184,516.879143294238
"490",100,81.7303267372296,98.2972848596411,20.4325816843074,74.2751955821445,100,17.395306028532,10.7225034514496,95.7202024850437,378.877128393925
"491",100,92.9969551979121,90.0826446280992,41.278816876903,61.8964767290126,99.3910395824271,47.3684210526316,21.9660722053067,76.555023923445,718.573292735972
"492",100,95.1859956236324,91.8440421722698,36.7415953849214,74.3385717127511,100,24.2092699423115,12.7511438233539,92.2021086134872,405.768848219614
"493",100,79.2189679218968,63.8075313807531,23.2217573221757,57.6011157601116,95.536959553696,25.8716875871688,9.48396094839609,97.0013947001395,379.428172942817
"494",100,91.5293437409656,93.6397802833189,43.3651344319167,85.1980341139057,99.9132697311362,42.6712922810061,19.0517490604221,87.6843018213356,490.199479618387
"495",100,93.984962406015,78.9473684210526,29.0341237709659,83.7478311162522,100,32.7356853672643,15.2689415847311,89.1844997108155,461.480624638519
"496",100,90.2768834513844,92.7881519639408,27.237604636188,58.6606567933033,100,20.2833226014166,10.2382485511912,95.1062459755312,364.455891822279
"497",100,94.7396107311941,90.7943187795897,46.8174644923724,69.0163072067333,100,29.5633876906891,12.8879537085744,90.8469226722778,487.217254076802
"498",100,92.8164196123147,96.5792474344356,31.0148232611174,82.5541619156214,99.7719498289624,38.654503990878,18.5860889395667,88.0273660205245,535.803876852908
"499",100,85.7568027210884,98.5544217687075,12.6700680272109,53.0612244897959,99.6173469387755,18.75,11.0119047619048,95.1955782312925,346.258503401361
"500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"501",100,95.0396825396825,92.6587301587302,60.4166666666667,52.4140211640212,99.9338624338624,72.9828042328042,14.6825396825397,81.8783068783069,543.154761904762
"502",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"503",100,91.1124546553809,98.0652962515115,61.5477629987908,56.5296251511487,99.6372430471584,77.3881499395405,11.1245465538089,87.3639661426844,407.255139056832
"504",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"506",100,91.7491749174917,95.7095709570957,53.1353135313531,72.3432343234323,99.7359735973597,97.2937293729373,18.6138613861386,87.4587458745875,460.726072607261
"507",100,86.9278169014084,97.3151408450704,52.2887323943662,58.8908450704225,99.8239436619718,48.943661971831,10.7834507042254,88.1161971830986,382.350352112676
"508",100,90.7988809449798,96.6117500777122,42.9903636928816,58.0354367423065,100,91.669257071806,9.32545850170967,89.368977308051,380.540876593099
"509",100,82.8336755646817,95.1950718685832,75.1129363449692,77.4537987679671,99.917864476386,20.8624229979466,6.98151950718686,91.170431211499,354.29158110883
"510",100,97.8402812656956,94.2240080361627,66.1476644902059,71.5720743345053,99.6484178804621,92.9181315921647,10.8990457056755,89.5529884480161,396.835760924159
"511",100,73.9930955120828,87.8020713463751,16.3406214039125,61.1047180667434,96.5477560414269,24.9712313003452,9.20598388952819,95.7422324510932,345.339470655926
"512",100,90.0186567164179,95.8488805970149,74.2070895522388,48.2276119402985,99.9067164179104,44.0764925373134,10.1679104477612,89.365671641791,401.539179104478
"513",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"514",100,41.1167512690355,88.1556683587141,46.7005076142132,59.7292724196278,99.6615905245347,21.8274111675127,10.6598984771574,96.9543147208122,285.109983079526
"515",100,99.6518105849582,97.7019498607242,65.7381615598886,92.2005571030641,99.5821727019499,98.8161559888579,25,65.041782729805,794.568245125348
"516",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"517",100,61.9183285849953,28.3950617283951,18.0436847103514,52.1367521367521,79.6771130104463,28.2051282051282,11.4909781576448,78.6324786324786,224.311490978158
"518",100,84.5285524568393,98.804780876494,67.2974767596282,93.9575033200531,100,80.5112881806109,44.5551128818061,56.2084993359894,759.760956175299
"519",100,61.4352392065344,96.7911318553092,37.8646441073512,80.5134189031505,97.5495915985998,36.9311551925321,21.8786464410735,77.1878646441073,351.983663943991
"520",100,83.1867839062084,98.0548894217959,65.7607247535305,92.0863309352518,98.6677324806821,61.8705035971223,34.9320543565148,53.3173461231015,742.152944311218
"521",100,97.8591817316841,94.0057088487155,87.1550903901047,91.3891531874405,99.9524262607041,99.3815413891532,31.0180780209324,59.3244529019981,871.646051379638
"522",100,89.5371263259402,96.1909353905497,42.2372227579556,71.0703953712633,99.8553519768563,81.2921890067502,9.01639344262295,87.9459980713597,501.301832208293
"523",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"524",100,89.6507936507936,97.2698412698413,52.8253968253968,58.4126984126984,99.8730158730159,60.8888888888889,13.4603174603175,87.6190476190476,398.031746031746
"525",100,95.9857904085257,94.3516873889876,46.2877442273535,65.3641207815275,100,85.2220248667851,11.190053285968,82.2380106571936,481.918294849023
"526",100,90.8472269479415,96.9037087444709,54.7805375978224,64.307587614835,99.8638992854712,87.7849608710446,10.5818305546104,89.6223205171827,413.8482477033
"527",100,77.3179466772781,94.9462793473936,58.3565459610028,87.7039395145245,98.9852765618782,52.1886191802626,30.4615996816554,63.6490250696379,630.202944687624
"528",100,67.8405315614618,98.2225913621262,50.4152823920266,79.6179401993355,97.1428571428571,34.5348837209302,12.2757475083056,84.0199335548173,336.229235880399
"529",100,81.6805684275564,98.671609514983,50.0154464009886,91.7516218721038,99.6601791782515,75.4711152301514,34.4763670064875,63.2684584491813,616.867469879518
"530",100,77.009702009702,97.6957726957727,61.7463617463617,85.5682605682606,98.3541233541234,52.7720027720028,33.0907830907831,63.2016632016632,624.8613998614
"531",100,83.1646044244469,97.525309336333,58.4176977877765,95.9505061867267,99.5875515560555,75.5155605549306,43.8695163104612,55.530558680165,750.243719535058
"532",100,79.0903721204962,96.1901949202599,48.4347312463083,82.5457767277023,99.7341996455995,54.6072061429415,32.9887773183698,59.1553455404607,619.314825753101
"533",100,65.8342189160468,96.0148777895856,43.0393198724761,57.4920297555792,93.0393198724761,33.5812964930925,19.7662061636557,80.0743889479277,351.594048884166
